date,1. open,2. high,3. low,4. close,5. volume
2019-11-22,2.69,2.69,2.565,2.61,303599.0
2019-11-21,2.73,2.73,2.66,2.66,212174.0
2019-11-20,2.79,2.8134,2.7,2.7,320756.0
2019-11-19,2.82,2.83,2.76,2.76,175452.0
2019-11-18,2.84,2.86,2.78,2.78,115473.0
2019-11-15,2.8,2.84,2.78,2.83,179984.0
2019-11-14,2.74,2.7801,2.72,2.77,225268.0
2019-11-13,2.78,2.81,2.74,2.74,248531.0
2019-11-12,2.87,2.91,2.8,2.8,263473.0
2019-11-11,2.77,2.915,2.74,2.88,330653.0
2019-11-08,3.1,3.1,2.77,2.77,506541.0
2019-11-07,3.15,3.16,3.01,3.08,144068.0
2019-11-06,3.31,3.32,3.17,3.19,270331.0
2019-11-05,3.33,3.345,3.225,3.31,223016.0
2019-11-04,3.39,3.3985,3.27,3.29,334318.0
2019-11-01,3.37,3.42,3.31,3.36,132884.0
2019-10-31,3.3,3.38,3.27,3.34,307925.0
2019-10-30,3.35,3.36,3.3,3.35,192654.0
2019-10-29,3.32,3.36,3.32,3.35,273454.0
2019-10-28,3.3,3.35,3.3,3.34,136136.0
2019-10-25,3.33,3.36,3.25,3.3,228809.0
2019-10-24,3.57,3.571,3.31,3.33,174106.0
2019-10-23,3.61,3.69,3.57,3.58,186702.0
2019-10-22,3.46,3.675,3.4514,3.64,218005.0
2019-10-21,3.44,3.54,3.41,3.5,243745.0
2019-10-18,3.42,3.5,3.4,3.44,242440.0
2019-10-17,3.47,3.5,3.36,3.43,382667.0
2019-10-16,3.35,3.54,3.34,3.45,645442.0
2019-10-15,3.34,3.52,3.27,3.36,805849.0
2019-10-14,2.92,3.512,2.86,3.36,1006635.0
2019-10-11,2.93,3.0,2.9,2.94,255697.0
2019-10-10,2.91,2.91,2.85,2.89,199271.0
2019-10-09,2.93,2.93,2.86,2.89,151788.0
